ListName,Id,display_name,Name,label::nepali,media::image::english,media::video::english,media::audio::english,media::image::nepali,media::video::nepali,media::audio::nepali,dist1,q101,q101_b,q101_c,q101_a,q102,q102a
q202b,1,,Yes,?,,,,,,,,,,,,,
q202b,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q202c,1,,Yes,?,,,,,,,,,,,,,
q202c,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q202d,1,,Yes,?,,,,,,,,,,,,,
q202d,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q202e,1,,Yes,?,,,,,,,,,,,,,
q202e,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q202f,1,,Yes,?,,,,,,,,,,,,,
q202f,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q204,1,,Yes,?,,,,,,,,,,,,,
q204,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q205,1,,Yes,?,,,,,,,,,,,,,
q205,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q206,1,,Yes,?,,,,,,,,,,,,,
q206,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q300,1,,CEONC,CEONC,,,,,,,,,,,,,
q300,2,,BEONC,BEONC,,,,,,,,,,,,,
q300,3,,Birthing center,?????? ??????,,,,,,,,,,,,,
q300,4,,None of above,?????? ???? ??? ????,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q300a,1,,Yes,?,,,,,,,,,,,,,
q300a,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q300b,1,,Yes,?,,,,,,,,,,,,,
q300b,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q300c,1,,Yes,?,,,,,,,,,,,,,
q300c,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q300d,1,,Yes Functioning,"?, ???? ???????? ?",,,,,,,,,,,,,
q300d,2,,"Yes, Not functioning",? ?? ???? ???????? ???,,,,,,,,,,,,,
q300d,3,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q300e,1,,Yes,?,,,,,,,,,,,,,
q300e,2,,No,???,,,,,,,,,,,,,
